state_no,H1,H2,H3,H4
770,3600,3600,18.48,18.48
771,3600,3600,43.90,43.90
772,3600,3600,24.24,24.24
773,3600,3600,45.06,45.06
774,3600,3600,26.48,26.48
775,3600,3600,30.84,30.84
776,3600,3600,28.20,28.20
777,3600,3600,37.36,37.36
778,3600,3600,23.57,23.57
779,3600,3600,41.27,41.27
780,3600,3600,39.85,39.85
781,3600,3600,25.84,25.84
782,3600,3600,26.88,26.88
783,3600,3600,32.00,32.00
784,3600,3600,36.40,36.40
785,3600,3600,35.29,35.29
